underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-23 16:00:00,SPY,2023-10-23,350.000,C,0.0000,0.0000,0.0000,0.0000,0,33,69.0000,66,72.2000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,350.000,C,0.0000,0.0000,0.0000,0.0000,0,82,69.6000,2,71.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,350.000,P,0.0100,0.0100,0.0100,0.0100,10,0,0.0000,187,0.0100,420.4500,420.4600,0.0000,420.4550,7.7654,-0.0008,0.0001,-0.0050,0.0001,0.0000,23
SPY,2023-10-23 16:15:00,SPY,2023-10-23,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,158,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23
SPY,2023-10-23 16:00:00,SPY,2023-10-23,360.000,C,0.0000,0.0000,0.0000,0.0000,0,6,59.0100,6,62.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,360.000,C,0.0000,0.0000,0.0000,0.0000,0,82,59.6000,3,61.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,6.6551,-0.0009,0.0002,-0.0050,0.0001,0.0000,2434
SPY,2023-10-23 16:15:00,SPY,2023-10-23,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,184,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2434
SPY,2023-10-23 16:00:00,SPY,2023-10-23,363.000,C,0.0000,0.0000,0.0000,0.0000,0,66,56.1800,66,58.9900,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,363.000,C,0.0000,0.0000,0.0000,0.0000,0,82,56.6000,3,58.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,6.3259,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,364.000,C,0.0000,0.0000,0.0000,0.0000,0,33,55.0000,7,58.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,364.000,C,0.0000,0.0000,0.0000,0.0000,0,82,55.6000,3,57.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,6.2166,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,365.000,C,0.0000,0.0000,0.0000,0.0000,0,5,54.1000,5,56.9900,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,365.000,C,0.0000,0.0000,0.0000,0.0000,0,82,54.6000,3,56.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,6.1074,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,366.000,C,0.0000,0.0000,0.0000,0.0000,0,7,53.1300,7,56.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,366.000,C,0.0000,0.0000,0.0000,0.0000,0,82,53.6000,3,55.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,297,0.0100,420.4500,420.4600,0.0000,420.4550,5.9984,-0.0010,0.0002,-0.0050,0.0001,0.0000,262
SPY,2023-10-23 16:15:00,SPY,2023-10-23,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,262
SPY,2023-10-23 16:00:00,SPY,2023-10-23,367.000,C,0.0000,0.0000,0.0000,0.0000,0,6,52.1000,6,55.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,367.000,C,0.0000,0.0000,0.0000,0.0000,0,82,52.6000,3,54.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,5.8895,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,8.4102,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,368.000,C,0.0000,0.0000,0.0000,0.0000,0,33,51.0000,7,54.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,368.000,C,0.0000,0.0000,0.0000,0.0000,0,82,51.6000,3,53.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,368.000,P,0.0100,0.0100,0.0100,0.0100,20,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,5.7808,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,368.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,8.2572,-0.0010,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,369.000,C,0.0000,0.0000,0.0000,0.0000,0,33,50.0000,6,53.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:15:00,SPY,2023-10-23,369.000,C,0.0000,0.0000,0.0000,0.0000,0,82,50.6000,3,52.8700,421.2600,421.2700,0.0000,421.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-23 16:00:00,SPY,2023-10-23,369.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,152,0.0100,420.4500,420.4600,0.0000,420.4550,5.6723,-0.0011,0.0002,-0.0050,0.0001,0.0000,1
SPY,2023-10-23 16:15:00,SPY,2023-10-23,369.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,421.2600,421.2700,0.0000,421.2650,8.1008,-0.0010,0.0002,-0.0050,0.0001,0.0000,1
SPY,2023-10-23 16:00:00,SPY,2023-10-23,370.000,C,51.0400,52.0100,51.0400,52.0100,70,66,49.1000,7,52.0000,420.4500,420.4600,0.0000,420.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131
