underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-06 16:00:00,SPY,2023-10-06,325.000,C,96.8000,103.2000,96.6000,103.2000,13,1,103.6000,7,105.8300,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
SPY,2023-10-06 16:15:00,SPY,2023-10-06,325.000,C,0.0000,0.0000,0.0000,0.0000,0,75,104.3600,75,105.4200,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
SPY,2023-10-06 16:00:00,SPY,2023-10-06,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2225
SPY,2023-10-06 16:15:00,SPY,2023-10-06,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2225
SPY,2023-10-06 16:00:00,SPY,2023-10-06,330.000,C,92.3700,92.4900,92.1000,92.4900,4,7,98.2600,8,100.8200,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28
SPY,2023-10-06 16:15:00,SPY,2023-10-06,330.000,C,0.0000,0.0000,0.0000,0.0000,0,75,99.3600,75,100.4200,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28
SPY,2023-10-06 16:00:00,SPY,2023-10-06,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1326
SPY,2023-10-06 16:15:00,SPY,2023-10-06,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1326
SPY,2023-10-06 16:00:00,SPY,2023-10-06,335.000,C,87.4600,87.4900,87.3000,87.4900,3,7,93.1500,7,95.8300,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-06 16:15:00,SPY,2023-10-06,335.000,C,0.0000,0.0000,0.0000,0.0000,0,75,94.3600,75,95.4200,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-06 16:00:00,SPY,2023-10-06,335.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1089
SPY,2023-10-06 16:15:00,SPY,2023-10-06,335.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1089
SPY,2023-10-06 16:00:00,SPY,2023-10-06,340.000,C,0.0000,0.0000,0.0000,0.0000,0,7,88.1300,99,91.0200,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
SPY,2023-10-06 16:15:00,SPY,2023-10-06,340.000,C,0.0000,0.0000,0.0000,0.0000,0,75,89.3000,75,90.5100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
SPY,2023-10-06 16:00:00,SPY,2023-10-06,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1363
SPY,2023-10-06 16:15:00,SPY,2023-10-06,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1363
SPY,2023-10-06 16:00:00,SPY,2023-10-06,345.000,C,0.0000,0.0000,0.0000,0.0000,0,7,83.1300,7,85.8900,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-06 16:15:00,SPY,2023-10-06,345.000,C,0.0000,0.0000,0.0000,0.0000,0,75,84.3100,82,86.3100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-06 16:00:00,SPY,2023-10-06,345.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1189
SPY,2023-10-06 16:15:00,SPY,2023-10-06,345.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1189
SPY,2023-10-06 16:00:00,SPY,2023-10-06,350.000,C,0.0000,0.0000,0.0000,0.0000,0,99,78.2800,44,81.2000,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-06 16:15:00,SPY,2023-10-06,350.000,C,0.0000,0.0000,0.0000,0.0000,0,75,79.3100,37,81.3000,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-06 16:00:00,SPY,2023-10-06,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,433,0.0100,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,613
SPY,2023-10-06 16:15:00,SPY,2023-10-06,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,613
SPY,2023-10-06 16:00:00,SPY,2023-10-06,355.000,C,0.0000,0.0000,0.0000,0.0000,0,7,73.2300,8,75.9000,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4
SPY,2023-10-06 16:15:00,SPY,2023-10-06,355.000,C,0.0000,0.0000,0.0000,0.0000,0,75,74.3100,75,75.5200,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4
SPY,2023-10-06 16:00:00,SPY,2023-10-06,355.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,429.5200,429.5200,0.0000,429.5200,8.0119,-0.0008,0.0001,-0.0050,0.0001,0.0000,2177
SPY,2023-10-06 16:15:00,SPY,2023-10-06,355.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2177
SPY,2023-10-06 16:00:00,SPY,2023-10-06,360.000,C,0.0000,0.0000,0.0000,0.0000,0,99,68.1400,8,70.9700,429.5200,429.5200,0.0000,429.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
SPY,2023-10-06 16:15:00,SPY,2023-10-06,360.000,C,0.0000,0.0000,0.0000,0.0000,0,75,69.3100,75,70.5200,429.8800,429.8900,0.0000,429.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
