underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-02 16:00:00,SPY,2023-10-02,350.000,C,77.3000,78.2700,76.6000,76.8200,10,4,75.9700,44,78.5400,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
SPY,2023-10-02 16:15:00,SPY,2023-10-02,350.000,C,0.0000,0.0000,0.0000,0.0000,0,75,76.8500,110,78.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
SPY,2023-10-02 16:00:00,SPY,2023-10-02,350.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,8.3748,-0.0007,0.0001,-0.0050,0.0001,0.0000,251
SPY,2023-10-02 16:15:00,SPY,2023-10-02,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,143,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,251
SPY,2023-10-02 16:00:00,SPY,2023-10-02,360.000,C,68.2700,68.2700,66.8200,66.8200,2,99,65.8500,8,68.5400,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,360.000,C,0.0000,0.0000,0.0000,0.0000,0,75,66.8600,99,68.8700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,7.2707,-0.0008,0.0001,-0.0050,0.0001,0.0000,49
SPY,2023-10-02 16:15:00,SPY,2023-10-02,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,143,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49
SPY,2023-10-02 16:00:00,SPY,2023-10-02,362.000,C,0.0000,0.0000,0.0000,0.0000,0,4,63.9700,8,66.5400,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,362.000,C,0.0000,0.0000,0.0000,0.0000,0,75,64.8600,99,66.8700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,7.0525,-0.0009,0.0001,-0.0050,0.0001,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,363.000,C,0.0000,0.0000,0.0000,0.0000,0,7,63.0000,1,65.4000,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,363.000,C,0.0000,0.0000,0.0000,0.0000,0,75,63.8600,82,65.9500,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.9437,-0.0009,0.0001,-0.0050,0.0001,0.0000,270
SPY,2023-10-02 16:15:00,SPY,2023-10-02,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,270
SPY,2023-10-02 16:00:00,SPY,2023-10-02,364.000,C,0.0000,0.0000,0.0000,0.0000,0,8,61.9300,1,64.4200,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,364.000,C,0.0000,0.0000,0.0000,0.0000,0,75,62.8600,7,64.9500,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.8240,-0.0009,0.0001,-0.0050,0.0001,0.0000,1
SPY,2023-10-02 16:15:00,SPY,2023-10-02,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-02 16:00:00,SPY,2023-10-02,365.000,C,0.0000,0.0000,0.0000,0.0000,0,7,61.0000,8,63.5400,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,365.000,C,0.0000,0.0000,0.0000,0.0000,0,99,61.0700,82,63.7800,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.7266,-0.0009,0.0001,-0.0050,0.0001,0.0000,40
SPY,2023-10-02 16:15:00,SPY,2023-10-02,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
SPY,2023-10-02 16:00:00,SPY,2023-10-02,366.000,C,0.0000,0.0000,0.0000,0.0000,0,7,60.0000,7,62.5700,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,366.000,C,0.0000,0.0000,0.0000,0.0000,0,88,60.0700,99,62.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.6183,-0.0009,0.0001,-0.0050,0.0001,0.0000,113
SPY,2023-10-02 16:15:00,SPY,2023-10-02,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,113
SPY,2023-10-02 16:00:00,SPY,2023-10-02,367.000,C,0.0000,0.0000,0.0000,0.0000,0,7,59.0600,77,61.5100,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,367.000,C,0.0000,0.0000,0.0000,0.0000,0,88,59.0700,99,61.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.5103,-0.0009,0.0002,-0.0050,0.0001,0.0000,140
SPY,2023-10-02 16:15:00,SPY,2023-10-02,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140
SPY,2023-10-02 16:00:00,SPY,2023-10-02,368.000,C,58.2000,58.2000,58.2000,58.2000,1,8,57.9700,8,60.5500,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-02 16:15:00,SPY,2023-10-02,368.000,C,0.0000,0.0000,0.0000,0.0000,0,82,58.1000,110,60.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-02 16:00:00,SPY,2023-10-02,368.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.4024,-0.0009,0.0002,-0.0050,0.0001,0.0000,788
SPY,2023-10-02 16:15:00,SPY,2023-10-02,368.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,127,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,788
SPY,2023-10-02 16:00:00,SPY,2023-10-02,369.000,C,0.0000,0.0000,0.0000,0.0000,0,4,57.0300,6,59.4500,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,369.000,C,0.0000,0.0000,0.0000,0.0000,0,88,57.0700,99,59.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,369.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5089,0.0100,427.3600,427.3700,0.0000,427.3650,6.2947,-0.0010,0.0002,-0.0050,0.0001,0.0000,342
SPY,2023-10-02 16:15:00,SPY,2023-10-02,369.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,342
SPY,2023-10-02 16:00:00,SPY,2023-10-02,370.000,C,57.1000,57.1100,57.1000,57.1100,30,7,55.9800,8,58.5500,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30
SPY,2023-10-02 16:15:00,SPY,2023-10-02,370.000,C,0.0000,0.0000,0.0000,0.0000,0,82,56.0400,110,58.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30
SPY,2023-10-02 16:00:00,SPY,2023-10-02,370.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.1872,-0.0010,0.0002,-0.0050,0.0001,0.0000,1325
SPY,2023-10-02 16:15:00,SPY,2023-10-02,370.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1325
SPY,2023-10-02 16:00:00,SPY,2023-10-02,371.000,C,0.0000,0.0000,0.0000,0.0000,0,5,55.2000,7,57.5700,427.3600,427.3700,0.0000,427.3650,8.2659,0.9891,0.0011,-0.0998,0.0009,0.0003,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,371.000,C,0.0000,0.0000,0.0000,0.0000,0,37,55.0700,99,57.8100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,6.0798,-0.0010,0.0002,-0.0050,0.0001,0.0000,2231
SPY,2023-10-02 16:15:00,SPY,2023-10-02,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2231
SPY,2023-10-02 16:00:00,SPY,2023-10-02,372.000,C,0.0000,0.0000,0.0000,0.0000,0,5,54.0600,5,56.5700,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,372.000,C,0.0000,0.0000,0.0000,0.0000,0,88,54.0700,1,56.0700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,372.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,5.9726,-0.0010,0.0002,-0.0050,0.0001,0.0000,1190
SPY,2023-10-02 16:15:00,SPY,2023-10-02,372.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,8.4404,-0.0010,0.0002,-0.0050,0.0001,0.0000,1190
SPY,2023-10-02 16:00:00,SPY,2023-10-02,373.000,C,0.0000,0.0000,0.0000,0.0000,0,7,53.0100,8,55.5600,427.3600,427.3700,0.0000,427.3650,7.3182,0.9934,0.0008,-0.0498,0.0006,0.0003,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,373.000,C,0.0000,0.0000,0.0000,0.0000,0,88,53.0700,3,55.0700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,373.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,5.8554,-0.0010,0.0002,-0.0050,0.0001,0.0000,116
SPY,2023-10-02 16:15:00,SPY,2023-10-02,373.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,8.2897,-0.0010,0.0002,-0.0050,0.0001,0.0000,116
SPY,2023-10-02 16:00:00,SPY,2023-10-02,374.000,C,0.0000,0.0000,0.0000,0.0000,0,7,52.0600,7,54.5700,427.3600,427.3700,0.0000,427.3650,6.8010,0.9956,0.0006,-0.0298,0.0004,0.0003,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,374.000,C,0.0000,0.0000,0.0000,0.0000,0,88,52.0700,3,54.0700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,374.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,5.7587,-0.0010,0.0002,-0.0050,0.0001,0.0000,2091
SPY,2023-10-02 16:15:00,SPY,2023-10-02,374.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,8.1710,-0.0010,0.0002,-0.0050,0.0001,0.0000,2091
SPY,2023-10-02 16:00:00,SPY,2023-10-02,375.000,C,0.0000,0.0000,0.0000,0.0000,0,7,51.0600,3,53.5700,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:15:00,SPY,2023-10-02,375.000,C,0.0000,0.0000,0.0000,0.0000,0,88,51.0700,1,53.0700,427.4600,427.4700,0.0000,427.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-02 16:00:00,SPY,2023-10-02,375.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,5088,0.0100,427.3600,427.3700,0.0000,427.3650,5.6520,-0.0010,0.0002,-0.0050,0.0001,0.0000,3040
SPY,2023-10-02 16:15:00,SPY,2023-10-02,375.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,126,0.0100,427.4600,427.4700,0.0000,427.4650,7.9889,-0.0010,0.0002,-0.0050,0.0001,0.0000,3040
SPY,2023-10-02 16:00:00,SPY,2023-10-02,376.000,C,0.0000,0.0000,0.0000,0.0000,0,8,50.0100,8,52.5600,427.3600,427.3700,0.0000,427.3650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
