underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-16 16:00:00,SPY,2023-10-16,362.000,C,74.0500,74.4900,73.6500,74.4900,6,99,72.5000,99,75.1900,436.0100,436.0200,0.0000,436.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
SPY,2023-10-16 16:15:00,SPY,2023-10-16,362.000,C,0.0000,0.0000,0.0000,0.0000,0,75,73.6800,75,74.8900,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
SPY,2023-10-16 16:00:00,SPY,2023-10-16,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3533,0.0100,436.0100,436.0200,0.0000,436.0150,7.8153,-0.0008,0.0001,-0.0050,0.0001,0.0000,1000
SPY,2023-10-16 16:15:00,SPY,2023-10-16,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1086,0.0100,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000
SPY,2023-10-16 16:00:00,SPY,2023-10-16,363.000,C,72.8400,72.8400,72.8400,72.8400,1,44,71.7100,99,74.1900,436.0100,436.0200,0.0000,436.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-16 16:15:00,SPY,2023-10-16,363.000,C,0.0000,0.0000,0.0000,0.0000,0,75,72.6800,82,74.6800,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-16 16:00:00,SPY,2023-10-16,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3097,0.0100,436.0100,436.0200,0.0000,436.0150,7.7074,-0.0008,0.0001,-0.0050,0.0001,0.0000,1191
SPY,2023-10-16 16:15:00,SPY,2023-10-16,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1179,0.0100,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1191
SPY,2023-10-16 16:00:00,SPY,2023-10-16,364.000,C,71.8400,71.8400,71.8400,71.8400,1,99,70.6600,99,73.1900,436.0100,436.0200,0.0000,436.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-16 16:15:00,SPY,2023-10-16,364.000,C,0.0000,0.0000,0.0000,0.0000,0,75,71.6800,37,73.6800,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-16 16:00:00,SPY,2023-10-16,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,2980,0.0100,436.0100,436.0200,0.0000,436.0150,7.5996,-0.0008,0.0001,-0.0050,0.0001,0.0000,247
SPY,2023-10-16 16:15:00,SPY,2023-10-16,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1085,0.0100,436.2900,436.3100,0.0000,436.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,247
