underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-12 16:00:00,SPY,2023-10-12,320.000,C,113.4500,113.4500,113.4500,113.4500,1,99,112.4500,99,115.1100,433.7000,433.7100,0.0000,433.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-12 16:15:00,SPY,2023-10-12,320.000,C,0.0000,0.0000,0.0000,0.0000,0,75,112.5000,3,114.4300,433.8400,433.8500,0.0000,433.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-12 16:00:00,SPY,2023-10-12,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,433.7000,433.7100,0.0000,433.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
SPY,2023-10-12 16:15:00,SPY,2023-10-12,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,433.8400,433.8500,0.0000,433.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
SPY,2023-10-12 16:00:00,SPY,2023-10-12,325.000,C,108.4500,108.4500,108.4500,108.4500,1,99,107.4500,99,110.1100,433.7000,433.7100,0.0000,433.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-12 16:15:00,SPY,2023-10-12,325.000,C,0.0000,0.0000,0.0000,0.0000,0,3,108.2200,7,110.2300,433.8400,433.8500,0.0000,433.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-12 16:00:00,SPY,2023-10-12,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,433.7000,433.7100,0.0000,433.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-12 16:15:00,SPY,2023-10-12,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,101,0.0100,433.8400,433.8500,0.0000,433.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-12 16:00:00,SPY,2023-10-12,330.000,C,0.0000,0.0000,0.0000,0.0000,0,5,102.5300,99,105.1200,433.7000,433.7100,0.0000,433.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-12 16:15:00,SPY,2023-10-12,330.000,C,0.0000,0.0000,0.0000,0.0000,0,3,103.2200,7,105.2400,433.8400,433.8500,0.0000,433.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
