underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-19 16:00:00,SPY,2023-10-19,370.000,C,60.6400,60.6400,56.0100,57.0100,132,80,55.0100,75,57.0100,426.4300,426.4400,0.0000,426.4350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,143
SPY,2023-10-19 16:15:00,SPY,2023-10-19,370.000,C,0.0000,0.0000,0.0000,0.0000,0,82,54.5200,75,56.3000,425.7300,425.7500,0.0000,425.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,143
SPY,2023-10-19 16:00:00,SPY,2023-10-19,370.000,P,0.0100,0.0100,0.0100,0.0100,6,0,0.0000,1418,0.0100,426.4300,426.4400,0.0000,426.4350,6.1181,-0.0010,0.0002,-0.0050,0.0001,0.0000,1263
SPY,2023-10-19 16:15:00,SPY,2023-10-19,370.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,425.7300,425.7500,0.0000,425.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1263
SPY,2023-10-19 16:00:00,SPY,2023-10-19,371.000,C,59.6400,59.6400,57.0100,58.1700,4,80,54.0100,11,57.3000,426.4300,426.4400,0.0000,426.4350,8.4303,0.9868,0.0013,-0.1252,0.0011,0.0000,1
SPY,2023-10-19 16:15:00,SPY,2023-10-19,371.000,C,0.0000,0.0000,0.0000,0.0000,0,82,53.5200,75,55.3000,425.7300,425.7500,0.0000,425.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-19 16:00:00,SPY,2023-10-19,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1368,0.0100,426.4300,426.4400,0.0000,426.4350,6.0107,-0.0010,0.0002,-0.0050,0.0001,0.0000,892
SPY,2023-10-19 16:15:00,SPY,2023-10-19,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,112,0.0100,425.7300,425.7500,0.0000,425.7400,8.3929,-0.0010,0.0002,-0.0050,0.0001,0.0000,892
SPY,2023-10-19 16:00:00,SPY,2023-10-19,372.000,C,56.0100,56.0100,56.0100,56.0100,2,1,52.9500,1,55.0500,426.4300,426.4400,0.0000,426.4350,8.3333,0.9862,0.0013,-0.1302,0.0011,0.0000,0
SPY,2023-10-19 16:15:00,SPY,2023-10-19,372.000,C,0.0000,0.0000,0.0000,0.0000,0,82,52.5200,3,54.3000,425.7300,425.7500,0.0000,425.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
