underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-18 16:00:00,SPY,2023-10-18,370.000,C,64.8300,64.8300,64.8300,64.8300,1,7,58.7100,7,61.4800,430.2400,430.2500,0.0000,430.2450,8.1037,0.9936,0.0007,0.0000,0.0006,0.0003,1
SPY,2023-10-18 16:15:00,SPY,2023-10-18,370.000,C,0.0000,0.0000,0.0000,0.0000,0,82,59.2600,82,62.2700,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-18 16:00:00,SPY,2023-10-18,370.000,P,0.0100,0.0100,0.0100,0.0100,6,0,0.0000,668,0.0100,430.2400,430.2500,0.0000,430.2450,6.4417,-0.0009,0.0002,-0.0050,0.0001,0.0000,728
SPY,2023-10-18 16:15:00,SPY,2023-10-18,370.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,728
SPY,2023-10-18 16:00:00,SPY,2023-10-18,371.000,C,63.8300,63.8300,63.8300,63.8300,1,7,57.6300,99,60.4900,430.2400,430.2500,0.0000,430.2450,7.9739,0.9935,0.0007,0.0000,0.0006,0.0003,1
SPY,2023-10-18 16:15:00,SPY,2023-10-18,371.000,C,0.0000,0.0000,0.0000,0.0000,0,7,58.2600,82,61.3600,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-18 16:00:00,SPY,2023-10-18,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,430.2400,430.2500,0.0000,430.2450,6.3348,-0.0009,0.0002,-0.0050,0.0001,0.0000,472
SPY,2023-10-18 16:15:00,SPY,2023-10-18,371.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,472
SPY,2023-10-18 16:00:00,SPY,2023-10-18,372.000,C,0.0000,0.0000,0.0000,0.0000,0,99,56.8900,99,59.5200,430.2400,430.2500,0.0000,430.2450,7.8442,0.9934,0.0007,0.0000,0.0006,0.0002,1
SPY,2023-10-18 16:15:00,SPY,2023-10-18,372.000,C,0.0000,0.0000,0.0000,0.0000,0,82,57.2000,82,60.3600,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-18 16:00:00,SPY,2023-10-18,372.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,387,0.0100,430.2400,430.2500,0.0000,430.2450,6.2280,-0.0010,0.0002,-0.0050,0.0001,0.0000,1495
SPY,2023-10-18 16:15:00,SPY,2023-10-18,372.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1495
SPY,2023-10-18 16:00:00,SPY,2023-10-18,373.000,C,0.0000,0.0000,0.0000,0.0000,0,7,55.8100,7,58.4600,430.2400,430.2500,0.0000,430.2450,6.9061,0.9971,0.0004,-0.0193,0.0003,0.0003,1
SPY,2023-10-18 16:15:00,SPY,2023-10-18,373.000,C,0.0000,0.0000,0.0000,0.0000,0,82,56.2000,82,59.3600,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-18 16:00:00,SPY,2023-10-18,373.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,430.2400,430.2500,0.0000,430.2450,6.1214,-0.0010,0.0002,-0.0050,0.0001,0.0000,443
SPY,2023-10-18 16:15:00,SPY,2023-10-18,373.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,443
SPY,2023-10-18 16:00:00,SPY,2023-10-18,374.000,C,0.0000,0.0000,0.0000,0.0000,0,11,54.5500,7,57.4600,430.2400,430.2500,0.0000,430.2450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-18 16:15:00,SPY,2023-10-18,374.000,C,0.0000,0.0000,0.0000,0.0000,0,82,55.2000,82,58.3600,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-18 16:00:00,SPY,2023-10-18,374.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,387,0.0100,430.2400,430.2500,0.0000,430.2450,6.0149,-0.0010,0.0002,-0.0050,0.0001,0.0000,5015
SPY,2023-10-18 16:15:00,SPY,2023-10-18,374.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5015
SPY,2023-10-18 16:00:00,SPY,2023-10-18,375.000,C,0.0000,0.0000,0.0000,0.0000,0,11,53.5500,7,56.4600,430.2400,430.2500,0.0000,430.2450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-18 16:15:00,SPY,2023-10-18,375.000,C,0.0000,0.0000,0.0000,0.0000,0,44,54.2000,75,56.4800,430.9000,430.9300,0.0000,430.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-18 16:00:00,SPY,2023-10-18,375.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,460,0.0100,430.2400,430.2500,0.0000,430.2450,5.9087,-0.0010,0.0002,-0.0050,0.0001,0.0000,7302
SPY,2023-10-18 16:15:00,SPY,2023-10-18,375.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,430.9000,430.9300,0.0000,430.9150,8.4619,-0.0010,0.0002,-0.0050,0.0001,0.0000,7302
