underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-09 16:00:00,SPY,2023-10-09,320.000,C,108.9000,108.9000,108.9000,108.9000,1,7,110.8400,99,113.4700,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,320.000,C,0.0000,0.0000,0.0000,0.0000,0,100,111.8400,100,112.8500,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-09 16:15:00,SPY,2023-10-09,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-09 16:00:00,SPY,2023-10-09,325.000,C,103.6000,103.9000,103.6000,103.9000,2,7,106.0900,99,108.4800,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-09 16:15:00,SPY,2023-10-09,325.000,C,0.0000,0.0000,0.0000,0.0000,0,100,106.8400,100,107.8500,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-09 16:00:00,SPY,2023-10-09,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,330.000,C,0.0000,0.0000,0.0000,0.0000,0,100,101.2000,99,103.4800,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,330.000,C,0.0000,0.0000,0.0000,0.0000,0,100,101.8400,100,102.8500,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,335.000,C,0.0000,0.0000,0.0000,0.0000,0,7,96.0500,9,98.5100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,335.000,C,0.0000,0.0000,0.0000,0.0000,0,100,96.7500,107,98.7900,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,335.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,335.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,340.000,C,0.0000,0.0000,0.0000,0.0000,0,100,91.4000,107,93.5100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,340.000,C,0.0000,0.0000,0.0000,0.0000,0,100,91.7500,110,93.8000,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:00:00,SPY,2023-10-09,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58
SPY,2023-10-09 16:15:00,SPY,2023-10-09,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58
SPY,2023-10-09 16:00:00,SPY,2023-10-09,350.000,C,0.0000,0.0000,0.0000,0.0000,0,100,81.3000,8,83.4300,432.2700,432.2800,0.0000,432.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-09 16:15:00,SPY,2023-10-09,350.000,C,0.0000,0.0000,0.0000,0.0000,0,107,80.6000,100,82.9300,432.3400,432.3700,0.0000,432.3550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
