underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-03 16:00:00,SPY,2023-10-03,350.000,C,75.1500,75.1500,71.6000,71.6000,6,75,70.6000,75,72.9400,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
SPY,2023-10-03 16:15:00,SPY,2023-10-03,350.000,C,0.0000,0.0000,0.0000,0.0000,0,75,71.1700,75,72.3800,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
SPY,2023-10-03 16:00:00,SPY,2023-10-03,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,421.6800,421.6800,0.0000,421.6800,7.8443,-0.0008,0.0001,-0.0050,0.0001,0.0000,1215
SPY,2023-10-03 16:15:00,SPY,2023-10-03,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3101,0.0100,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1215
SPY,2023-10-03 16:00:00,SPY,2023-10-03,360.000,C,64.7800,64.7800,62.3300,62.3300,2,1,60.9000,3,62.9100,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,360.000,C,0.0000,0.0000,0.0000,0.0000,0,75,61.1700,75,62.3900,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,421.6800,421.6800,0.0000,421.6800,6.7352,-0.0009,0.0001,-0.0050,0.0001,0.0000,299
SPY,2023-10-03 16:15:00,SPY,2023-10-03,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,143,0.0100,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,299
SPY,2023-10-03 16:00:00,SPY,2023-10-03,362.000,C,62.7800,62.7800,60.3300,60.3300,2,99,58.2700,82,60.8900,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,362.000,C,0.0000,0.0000,0.0000,0.0000,0,75,59.1700,75,60.3900,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,421.6800,421.6800,0.0000,421.6800,6.5158,-0.0009,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,142,0.0100,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,363.000,C,0.0000,0.0000,0.0000,0.0000,0,5,57.3600,5,59.9400,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,363.000,C,0.0000,0.0000,0.0000,0.0000,0,75,58.1700,75,59.3900,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,421.6800,421.6800,0.0000,421.6800,6.4064,-0.0009,0.0002,-0.0050,0.0001,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,142,0.0100,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,364.000,C,0.0000,0.0000,0.0000,0.0000,0,6,56.2300,3,58.9400,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,364.000,C,0.0000,0.0000,0.0000,0.0000,0,75,57.1700,75,58.3900,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:00:00,SPY,2023-10-03,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,421.6800,421.6800,0.0000,421.6800,6.2971,-0.0010,0.0002,-0.0050,0.0001,0.0000,649
SPY,2023-10-03 16:15:00,SPY,2023-10-03,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,142,0.0100,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,649
SPY,2023-10-03 16:00:00,SPY,2023-10-03,365.000,C,0.0000,0.0000,0.0000,0.0000,0,7,55.3400,3,57.9100,421.6800,421.6800,0.0000,421.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-03 16:15:00,SPY,2023-10-03,365.000,C,0.0000,0.0000,0.0000,0.0000,0,75,56.1700,75,57.3900,421.7800,421.7900,0.0000,421.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
