underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-05 16:00:00,SPY,2023-10-05,350.000,C,72.1200,75.2100,72.1200,75.2100,33,99,73.0500,99,75.6700,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80
SPY,2023-10-05 16:15:00,SPY,2023-10-05,350.000,C,0.0000,0.0000,0.0000,0.0000,0,75,73.5700,82,75.5900,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80
SPY,2023-10-05 16:00:00,SPY,2023-10-05,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,8.1226,-0.0008,0.0001,-0.0050,0.0001,0.0000,223
SPY,2023-10-05 16:15:00,SPY,2023-10-05,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223
SPY,2023-10-05 16:00:00,SPY,2023-10-05,360.000,C,0.0000,0.0000,0.0000,0.0000,0,6,63.2700,99,65.6800,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18
SPY,2023-10-05 16:15:00,SPY,2023-10-05,360.000,C,0.0000,0.0000,0.0000,0.0000,0,82,62.7900,75,64.7600,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18
SPY,2023-10-05 16:00:00,SPY,2023-10-05,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,7.0156,-0.0009,0.0001,-0.0050,0.0001,0.0000,239
SPY,2023-10-05 16:15:00,SPY,2023-10-05,360.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,239
SPY,2023-10-05 16:00:00,SPY,2023-10-05,362.000,C,0.0000,0.0000,0.0000,0.0000,0,99,60.9500,99,63.6800,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,362.000,C,0.0000,0.0000,0.0000,0.0000,0,82,60.7600,75,62.7600,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,6.7967,-0.0009,0.0001,-0.0050,0.0001,0.0000,105
SPY,2023-10-05 16:15:00,SPY,2023-10-05,362.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,105
SPY,2023-10-05 16:00:00,SPY,2023-10-05,363.000,C,0.0000,0.0000,0.0000,0.0000,0,99,60.2100,7,62.7700,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,363.000,C,0.0000,0.0000,0.0000,0.0000,0,82,59.7600,75,61.7600,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,6.6875,-0.0009,0.0001,-0.0050,0.0001,0.0000,443
SPY,2023-10-05 16:15:00,SPY,2023-10-05,363.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,443
SPY,2023-10-05 16:00:00,SPY,2023-10-05,364.000,C,0.0000,0.0000,0.0000,0.0000,0,44,59.0500,7,61.7500,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,364.000,C,0.0000,0.0000,0.0000,0.0000,0,75,59.5700,75,60.7800,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,6.5786,-0.0009,0.0002,-0.0050,0.0001,0.0000,60
SPY,2023-10-05 16:15:00,SPY,2023-10-05,364.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60
SPY,2023-10-05 16:00:00,SPY,2023-10-05,365.000,C,0.0000,0.0000,0.0000,0.0000,0,7,58.0300,44,60.7700,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,365.000,C,0.0000,0.0000,0.0000,0.0000,0,75,58.5800,75,59.7800,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5194,0.0100,424.4500,424.4600,0.0000,424.4550,6.4698,-0.0009,0.0002,-0.0050,0.0001,0.0000,564
SPY,2023-10-05 16:15:00,SPY,2023-10-05,365.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,178,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,564
SPY,2023-10-05 16:00:00,SPY,2023-10-05,366.000,C,0.0000,0.0000,0.0000,0.0000,0,7,57.2500,7,59.7700,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,366.000,C,0.0000,0.0000,0.0000,0.0000,0,75,57.5700,82,59.6000,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5108,0.0100,424.4500,424.4600,0.0000,424.4550,6.3612,-0.0009,0.0002,-0.0050,0.0001,0.0000,50
SPY,2023-10-05 16:15:00,SPY,2023-10-05,366.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,197,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50
SPY,2023-10-05 16:00:00,SPY,2023-10-05,367.000,C,0.0000,0.0000,0.0000,0.0000,0,7,56.1000,7,58.8100,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,367.000,C,0.0000,0.0000,0.0000,0.0000,0,82,55.7700,82,58.6000,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5088,0.0100,424.4500,424.4600,0.0000,424.4550,6.2528,-0.0010,0.0002,-0.0050,0.0001,0.0000,127
SPY,2023-10-05 16:15:00,SPY,2023-10-05,367.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,177,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,127
SPY,2023-10-05 16:00:00,SPY,2023-10-05,368.000,C,0.0000,0.0000,0.0000,0.0000,0,7,55.0700,99,57.8500,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,368.000,C,0.0000,0.0000,0.0000,0.0000,0,82,54.7700,82,57.6100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,368.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5093,0.0100,424.4500,424.4600,0.0000,424.4550,6.1445,-0.0010,0.0002,-0.0050,0.0001,0.0000,70
SPY,2023-10-05 16:15:00,SPY,2023-10-05,368.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,182,0.0100,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70
SPY,2023-10-05 16:00:00,SPY,2023-10-05,369.000,C,0.0000,0.0000,0.0000,0.0000,0,99,54.0500,6,56.8700,424.4500,424.4600,0.0000,424.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:15:00,SPY,2023-10-05,369.000,C,0.0000,0.0000,0.0000,0.0000,0,75,54.5700,75,55.7800,424.2200,424.2300,0.0000,424.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-05 16:00:00,SPY,2023-10-05,369.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5091,0.0100,424.4500,424.4600,0.0000,424.4550,6.0364,-0.0010,0.0002,-0.0050,0.0001,0.0000,70
SPY,2023-10-05 16:15:00,SPY,2023-10-05,369.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,180,0.0100,424.2200,424.2300,0.0000,424.2250,8.4936,-0.0010,0.0002,-0.0050,0.0001,0.0000,70
