datetime,open,high,low,close,volume
2023-11-01 15:27:00,4238.33008,4238.33008,4235.37012,4236.1001,6751000
2023-11-01 15:26:00,4240.06982,4240.06982,4237.31006,4238.37012,6158000
2023-11-01 15:25:00,4242.58984,4244.10986,4239.6499,4240.12988,10873000
2023-11-01 15:24:00,4240.08008,4242.52979,4239.75977,4242.52002,5584000
2023-11-01 15:23:00,4239.70996,4242.06982,4239.06006,4240.12012,9273000
2023-11-01 15:22:00,4237.95996,4240.24023,4237.83008,4240.06006,10393000
2023-11-01 15:21:00,4237.85986,4238.1001,4236.06982,4237.97998,5933000
2023-11-01 15:20:00,4235.91992,4237.7998,4234.93994,4237.79004,6263000
2023-11-01 15:19:00,4236.58984,4237.64014,4235.8501,4235.8501,7059000
2023-11-01 15:18:00,4235.75,4236.33984,4235.10986,4236.1001,6857000
2023-11-01 15:17:00,4235.5498,4237.06982,4235.5498,4235.70996,5678000
2023-11-01 15:16:00,4235.72998,4237.62012,4234.8501,4235.68994,8396000
2023-11-01 15:15:00,4233.35986,4235.66992,4232.89014,4235.66992,6530000
2023-11-01 15:14:00,4237.87988,4237.87988,4233.14014,4233.14014,6590000
2023-11-01 15:13:00,4239.27002,4239.27002,4235.77002,4237.85986,8528000
2023-11-01 15:12:00,4239.25977,4240.87012,4238.62012,4239.66016,6574000
2023-11-01 15:11:00,4239.45996,4239.64014,4238.12012,4239.2998,6193000
2023-11-01 15:10:00,4235.81006,4239.41016,4235.68994,4239.37988,7992000
2023-11-01 15:09:00,4236.1499,4236.77002,4234.47021,4235.83984,6144000
2023-11-01 15:08:00,4234.18018,4236.18018,4232.72998,4236.18018,6636000
2023-11-01 15:07:00,4235.39014,4236.6499,4233.6499,4234.10986,6115000
2023-11-01 15:06:00,4233.02979,4235.52002,4232.9502,4235.25977,5688000
2023-11-01 15:05:00,4232.87012,4233.70996,4230.87012,4233.12012,6954000
2023-11-01 15:04:00,4236.3501,4236.58008,4232.75,4232.75,6528000
2023-11-01 15:03:00,4236.4502,4236.8501,4235.49023,4236.20996,6445000
2023-11-01 15:02:00,4232.62012,4236.60986,4232.27002,4236.0498,7251000
2023-11-01 15:01:00,4230.52979,4234.3501,4230.52979,4232.5,8198000
2023-11-01 15:00:00,4224.20996,4231.37012,4224.20996,4230.50977,10330000
2023-11-01 14:59:00,4226.33008,4226.33008,4223.52002,4224.08984,5754000
2023-11-01 14:58:00,4224.56006,4226.16992,4223.72998,4226.16992,5493000
2023-11-01 14:57:00,4221.70996,4224.93994,4221.2002,4224.49023,6968000
2023-11-01 14:56:00,4216.12012,4221.83008,4216.12012,4221.72998,7946000
2023-11-01 14:55:00,4212.95996,4216.10986,4212.95996,4216.10986,4282000
2023-11-01 14:54:00,4215.35986,4215.58984,4212.24023,4213.02979,4869000
2023-11-01 14:53:00,4213.56982,4215.95996,4213.56982,4215.24023,5483000
2023-11-01 14:52:00,4212.14014,4212.77979,4210.66016,4212.68994,4785000
2023-11-01 14:51:00,4214.93994,4216.08008,4212.81006,4212.81006,6178000
2023-11-01 14:50:00,4208.43994,4215.29004,4208.27979,4215.16992,7965000
2023-11-01 14:49:00,4204.49023,4209.27002,4202.02002,4208.22021,9706000
2023-11-01 14:48:00,4208.77979,4209.83008,4203.62988,4204.6499,7908000
2023-11-01 14:47:00,4211.18018,4211.31006,4208.37012,4208.75977,4521000
2023-11-01 14:46:00,4212.10986,4213.6499,4211.29004,4211.37012,5150000
2023-11-01 14:45:00,4207.9502,4212.06006,4206.33008,4212.06006,6395000
2023-11-01 14:44:00,4209.70996,4210.91016,4206.62988,4208.00977,5274000
2023-11-01 14:43:00,4206.43018,4210.50977,4205.3999,4209.74023,6425000
2023-11-01 14:42:00,4208.02002,4208.02002,4202.68018,4206.25977,7730000
2023-11-01 14:41:00,4210.58984,4211.72998,4208.3501,4208.37988,6230000
2023-11-01 14:40:00,4216.18018,4217.1001,4209.52979,4210.77979,7518000
2023-11-01 14:39:00,4216.87012,4217.1001,4213.68994,4215.93018,8011000
2023-11-01 14:38:00,4224.25,4224.75977,4216.37012,4216.79004,7365000
2023-11-01 14:37:00,4226.08984,4226.93994,4223.66016,4224.18994,5645000
2023-11-01 14:36:00,4221.56982,4225.56006,4220.72021,4225.56006,7806000
2023-11-01 14:35:00,4224.66992,4227.58008,4220.47998,4221.66992,1189000
2023-11-01 14:34:00,4223.72998,4225.87988,4222.91992,4224.6001,6864000
2023-11-01 14:33:00,4222.3999,4224.22021,4222.24023,4223.72998,6473000
2023-11-01 14:32:00,4222.02002,4223.16992,4221.4502,4222.56982,4833000
2023-11-01 14:31:00,4218.08984,4223.02979,4217.7002,4222.02002,8439000
2023-11-01 14:30:00,4214.9502,4218.20996,4214.9502,4218.12012,4773000
2023-11-01 14:29:00,4216.75,4216.75,4215.02979,4215.08008,3423000
2023-11-01 14:28:00,4216.14014,4216.75977,4215.68018,4216.68018,3755000
2023-11-01 14:27:00,4213.20996,4216.31982,4212.0498,4216.2002,6231000
2023-11-01 14:26:00,4213.66992,4214.62988,4213.43018,4213.43018,3169000
2023-11-01 14:25:00,4213.74023,4214.4502,4213.06006,4213.6499,3927000
2023-11-01 14:24:00,4214.18018,4214.49023,4213.2002,4213.74023,3429000
2023-11-01 14:23:00,4213.33008,4214.56006,4213.00977,4214.18994,3531000
2023-11-01 14:22:00,4211.22021,4213.31006,4210.93018,4213.22998,3399000
2023-11-01 14:21:00,4211.6499,4212.8999,4211.10986,4211.18994,3930000
2023-11-01 14:20:00,4209.35986,4211.56006,4209.35986,4211.54004,3621000
2023-11-01 14:19:00,4210.1499,4210.43994,4209.02979,4209.3999,3174000
2023-11-01 14:18:00,4208.85986,4210.2002,4208.72021,4210.08984,3798000
2023-11-01 14:17:00,4208.27002,4209.3999,4207.6001,4208.87012,4411000
2023-11-01 14:16:00,4205.12988,4208.27979,4204.22021,4208.22998,3146000
2023-11-01 14:15:00,4207.25,4207.5,4205.22998,4205.22998,5670000
2023-11-01 14:14:00,4209.91016,4209.91016,4207.24023,4207.29004,3955000
2023-11-01 14:13:00,4210.22021,4210.60986,4208.68994,4209.95996,4454000
2023-11-01 14:12:00,4211.8501,4212.06982,4210.16992,4210.18018,4215000
2023-11-01 14:11:00,4209.04004,4211.81982,4208.91016,4211.81982,4160000
2023-11-01 14:10:00,4210.4502,4211.72021,4209.3501,4209.3501,5147000
2023-11-01 14:09:00,4211.91992,4211.91992,4209.81982,4210.5,3408000
2023-11-01 14:08:00,4210.85986,4213.56006,4210.85986,4211.8999,4521000
2023-11-01 14:07:00,4212.58008,4212.58008,4210.10986,4210.8501,3834000
2023-11-01 14:06:00,4213.66016,4213.66016,4212.10986,4212.6499,3306000
2023-11-01 14:05:00,4212.18994,4213.72998,4211.18994,4213.6001,3557000
2023-11-01 14:04:00,4214.66992,4214.66992,4210.77002,4212.24023,3858000
2023-11-01 14:03:00,4213.72021,4215.99023,4212.14014,4214.93994,4217000
2023-11-01 14:02:00,4208.1499,4214.18994,4208.1499,4213.7002,4599000
2023-11-01 14:01:00,4218.56982,4218.62988,4208.00977,4208.10986,6439000
2023-11-01 14:00:00,4211.2998,4219.16016,4211.2998,4218.66992,9299000
2023-11-01 13:59:00,4212.22998,4212.22998,4211.27002,4211.39014,2587000
2023-11-01 13:58:00,4209.91016,4212.27979,4209.91016,4212.27002,3227000
2023-11-01 13:57:00,4210.27002,4210.27979,4209.5498,4209.91992,2887000
2023-11-01 13:56:00,4209.49023,4210.29004,4209.43018,4210.22998,2878000
2023-11-01 13:55:00,4210.83008,4210.91016,4209.43018,4209.43018,2820000
2023-11-01 13:54:00,4210.66016,4211.47998,4210.62012,4210.87012,3005000
2023-11-01 13:53:00,4212.16992,4212.16992,4210.6499,4210.6499,3687000
2023-11-01 13:52:00,4211.47998,4212.58008,4211.27979,4212.2002,3544000
2023-11-01 13:51:00,4209.56982,4211.47021,4209.24023,4211.47021,3518000
2023-11-01 13:50:00,4208.3999,4209.58008,4208.3999,4209.56006,2956000
2023-11-01 13:49:00,4207.83984,4208.41016,4207.64014,4208.41016,3358000
2023-11-01 13:48:00,4206.77002,4207.74023,4206.25,4207.74023,3534000
2023-11-01 13:47:00,4207.16992,4207.33008,4206.54004,4206.75977,3107000
2023-11-01 13:46:00,4208.89014,4208.9502,4207.02002,4207.0498,3417000
2023-11-01 13:45:00,4210.77979,4210.77979,4208.68018,4208.95996,4193000
2023-11-01 13:44:00,4210.75,4211.18994,4210.75,4210.75977,3473000
2023-11-01 13:43:00,4210.50977,4210.8501,4210.31982,4210.70996,3400000
2023-11-01 13:42:00,4209.77979,4210.4502,4209.37988,4210.43994,3453000
2023-11-01 13:41:00,4208.10986,4209.9502,4208.0,4209.79004,3847000
2023-11-01 13:40:00,4207.27002,4208.12012,4206.2998,4208.08008,4635000
2023-11-01 13:39:00,4206.74023,4207.37988,4206.74023,4207.2998,2889000
2023-11-01 13:38:00,4206.22021,4206.91992,4206.04004,4206.7998,3456000
2023-11-01 13:37:00,4206.18018,4206.18994,4205.60986,4206.18994,2966000
2023-11-01 13:36:00,4205.16016,4206.37012,4205.14014,4206.18994,3958000
2023-11-01 13:35:00,4204.81982,4205.77979,4204.72998,4205.18994,3366000
2023-11-01 13:34:00,4205.29004,4205.64014,4204.62012,4204.81982,3408000
2023-11-01 13:33:00,4205.27979,4205.49023,4204.47021,4205.41016,3783000
2023-11-01 13:32:00,4207.37012,4207.37012,4205.29004,4205.29004,4188000
2023-11-01 13:31:00,4208.43018,4208.43018,4207.39014,4207.45996,3502000
2023-11-01 13:30:00,4208.50977,4208.50977,4207.49023,4208.41992,2912000
2023-11-01 13:29:00,4208.87012,4208.93018,4208.12012,4208.5,3452000
2023-11-01 13:28:00,4207.79004,4209.24023,4207.68018,4208.8501,4557000
2023-11-01 13:27:00,4206.02979,4207.7998,4205.68994,4207.79004,4321000
2023-11-01 13:26:00,4205.89014,4206.33008,4205.0,4206.14014,3588000
2023-11-01 13:25:00,4206.37012,4206.5,4205.68994,4205.89014,3940000
2023-11-01 13:24:00,4207.37988,4207.41992,4205.83008,4206.35986,4965000
2023-11-01 13:23:00,4208.99023,4209.0,4207.37012,4207.43018,4619000
2023-11-01 13:22:00,4211.37012,4211.37988,4209.0,4209.0,4920000
2023-11-01 13:21:00,4211.8501,4212.12988,4210.89014,4211.43018,4236000
2023-11-01 13:20:00,4212.27002,4212.47998,4211.7998,4211.8501,2991000
2023-11-01 13:19:00,4213.25977,4213.25977,4211.87988,4212.22998,3190000
2023-11-01 13:18:00,4212.16992,4213.22998,4212.02002,4213.22998,3743000
2023-11-01 13:17:00,4212.37012,4212.39014,4211.7998,4212.24023,2989000
2023-11-01 13:16:00,4212.77002,4212.77002,4211.64014,4212.41016,3886000
2023-11-01 13:15:00,4213.00977,4214.3501,4212.85986,4212.85986,4288000
2023-11-01 13:14:00,4213.43994,4213.58008,4212.87012,4213.02002,2794000
2023-11-01 13:13:00,4214.00977,4214.29004,4213.43018,4213.47021,3596000
2023-11-01 13:12:00,4211.77979,4214.00977,4211.77979,4213.95996,4022000
2023-11-01 13:11:00,4211.39014,4211.87988,4211.0498,4211.7998,3280000
2023-11-01 13:10:00,4209.3999,4211.5,4209.37012,4211.3999,4508000
2023-11-01 13:09:00,4209.18994,4209.50977,4208.56006,4209.3999,3234000
2023-11-01 13:08:00,4210.29004,4210.29004,4209.12988,4209.20996,3442000
2023-11-01 13:07:00,4208.39014,4210.41016,4208.39014,4210.31982,3622000
2023-11-01 13:06:00,4206.93994,4208.39014,4206.39014,4208.37012,3580000
2023-11-01 13:05:00,4206.22998,4207.10986,4206.08008,4207.02002,3209000
2023-11-01 13:04:00,4206.10986,4206.50977,4205.93994,4206.50977,1937000
2023-11-01 13:03:00,4206.93018,4207.06006,4206.10986,4206.12012,2827000
2023-11-01 13:02:00,4207.5,4207.83984,4206.89014,4206.89014,3150000
2023-11-01 13:01:00,4207.79004,4207.79004,4206.64014,4207.5,3605000
2023-11-01 13:00:00,4208.06006,4208.81982,4207.5,4207.66992,3493000
2023-11-01 12:59:00,4208.74023,4208.8501,4207.7998,4208.02002,3003000
2023-11-01 12:58:00,4208.60986,4209.31006,4208.58984,4208.70996,3704000
2023-11-01 12:57:00,4209.64014,4209.66992,4208.6001,4208.6001,3866000
2023-11-01 12:56:00,4208.18994,4209.6499,4208.18994,4209.6499,4007000
2023-11-01 12:55:00,4208.31982,4208.3999,4207.6001,4208.18994,3406000
